Ejercicio,Estado,Patrón,Tipo,Implementación principal,Músculos primarios trabajados,Músculos secundarios trabajados,Plano,Explicación del ejercicio,URL de YouTube
Press de banca inclinado con mancuernas en fitball,hecho,Empuje,Carga externa,Mancuerna,"Cuádriceps, Glúteos","Quadriceps, Glutes",Sagital,Recto Abdominal codos doblados y manos en pronación. Para iniciar el,https://www.youtube.com/watch?v=0ZfCLCqq8Po
Para Curl de Bíceps con Mancuernas en Banco Inclinado,realizado,,Carga externa,Mancuerna,"Bíceps, Braquial Braquiorradial",Brachioradialis,Sagital,"Iniciar el movimiento, doblar los codos y flexionar las mancuernas hacia",https://www.youtube.com/watch?v=UBJQssyL9Xs
Press de Banca con Mancuernas y Agarre Cerrado en Banco Inclinado,realizado,Empuje,Carga externa,Mancuerna,"Pectorales, Tríceps, Deltoides Anteriores Glúteos,",Cuádriceps,Sagital,"Codos doblados y cerca del cuerpo, y manos en agarre neutro. Para iniciar el movimiento, empuja los",https://www.youtube.com/watch?v=3DjDESzY-M4
Press de Banca con Kettlebell en Banco Inclinado,realizado,Empuje,Carga externa,Kettlebell,"Pectorales, Tríceps, Deltoides Anteriores","Posterior Deltoids, Latissimus Dorsi",Sagital,"Dorsal asa, codos doblados, y las kettlebells comenzando fuera de la parte superior del pecho. Para iniciar el movimiento, empuja",https://www.youtube.com/watch?v=7QOuv7bVAHU
Elevación Lateral Prona en Banco Inclinado,realizado,,Carga externa,Mancuerna,"Deltoides Posteriores, Romboides Tríceps, Trapecio",", Glúteos",Transversal,"Debajo de los hombros, manos en agarre neutro. Para iniciar el",https://www.youtube.com/watch?v=TA8cTNKRLEg
Isometric Split Squat,re-film,Una pierna,Peso corporal,Ninguno,"Cuádriceps, glúteos, aductores","Hip Flexors, Calves, Rectus Abdominis",Sagital,"Abdominales dos del suelo, y aprieta los muslos internos juntos para estabilidad. Mantén durante el tiempo prescrito.",https://www.youtube.com/watch?v=US-ziYRVKp4
Para colocarse en posición,re-film,Una pierna,Peso corporal,Ninguno,"Cuádriceps, glúteos","aductores Sagital ambas rodillas, formando un ángulo de 90-90, deja que la rodilla trasera flote a una pulgada ohttps://www.youtube.com/watch?v=US-ziYRVKp4 Abdominales dos del suelo, y aprieta los muslos internos juntos para estabilidad. Mantén durante el tiempo prescrito. Jane Fonda comienza acostada de lado en el suelo, con la mano inferior detrás de la cabeza, codo hacia abajo, y la mano superior en el suelo Jane Fonda regrabar Pierna única Estabilidad Ninguno Glúteos, abductores TFL",Frontal,"Movimiento, manteniéndose en el plano frontal, levanta la pierna superior hacia el techo, y baja de nuevo a la posición inicial.",https://www.youtube.com/watch?v=J32K2PjekrQ
Jane Fonda regrabar,,Pierna única,Estabilidad,Ninguno,"Glúteos, abductores TFL Frontal delante de ti para estabilidad, piernas apiladas y extendidas. Para iniciar elhttps://www.youtube.com/watch?v=J32K2PjekrQ movimiento, manteniéndose en el plano frontal","levanta la pierna superior hacia el techo, y baja de nuevo a la posición inicial. El Jefferson Curl comienza de pie sobre una caja o similar objeto elevado, con una barra sostenida en posición colgante frente a los Erectores espinales, isquiotibiales, Recto abdominal, trapecio, muslos, con las manos en pronación y separadas al ancho de los hombros. Para iniciar el Jefferson Curl regrabar Flexión Carga externa Barra",Sagital,"Dorsal ancho, escápulas Deltoides anteriores movimiento, en un ritmo rodante, primero lleva la barbilla al pecho, luego redondea la parte superior de la espalda y los hombros y comienza a flexionar la columna yEl",https://www.youtube.com/watch?v=kto7wVtmXac
Jefferson Deadlift,,Flexión,Carga externa,Barra,"Sagital https://www.youtube.com/watch?v=kto7wVtmXac Dorsal ancho, escápulas Deltoides anteriores movimiento, en un ritmo rodante","primero lleva la barbilla al pecho, luego redondea la parte superior de la espalda y los hombros y comienza a flexionar la columna yEl Jefferson Deadlift comienza en una posición dividida corta, con ambos talones abajo, y una barra cargada colocada entre los pies para que las piernas estén a horcajadas Cuádriceps, dorsal ancho, Jefferson Deadlift regrabar Flexión Carga externa Barra Isquiotibiales, erectores espinales, glúteos",Sagital,"Trapecio empujando las caderas hacia atrás e inclinando el torso hacia adelante, manteniendo la",https://www.youtube.com/watch?v=AB7rjJCDcc4
Jefferson Deadlift regrabar,,Flexión,Carga externa,Barra,"Isquiotibiales, erectores espinales, glúteos Sagital la barra. Para llegar a la posición inicial","flexiona las caderas https://www.youtube.com/watch?v=AB7rjJCDcc4 Trapecio empujando las caderas hacia atrás e inclinando el torso hacia adelante, manteniendo la espalda recta, y toma la El Jerk Balance comienza en una posición de zancada de pie, con una barra sostenida en la posición de rack frontal. Para iniciar el movimiento, busca una pequeña Cuádriceps, glúteos, anterior flexión en las rodillas para cargar el resorte. Luego, extiende poderosamente Jerk Balance regrabar Empuje Explosividad Barra Trapecio, tríceps",Sagital,"Deltoides a través de las piernas y da un paso hacia adelante con el pie delantero mientras simultáneamente extiendes la barra por encima de la cabeza. Luego, retrocede el pie delantero ligeramente y lo",https://www.youtube.com/watch?v=8ajbZnZ0gnU
Jerk Dip,re-film,Empuje,Carga externa,Barbilla,(barra),"Biceps, Rectus Abdominis, Erector Spinae",Sagital,"Deltoides anteriores Espina debajo de la barra, con las manos sujetando a una anchura fuera de los hombros,",https://www.youtube.com/watch?v=pHlZlBiFEeY
JM Press,re-film,Empuje,Carga externa,Barra,"Tríceps, Pectorales, Deltoides anteriores Recto abdominal",Rectus Abdominis,Sagital,"Codos y comenzar a bajar los antebrazos, bajando la barra hacia el cuello. Luego, con control, extiende los brazos a pu Ejercicio Estado Patrón Tipo Implementación principal Músculos principales trabajados Músculos secundarios trabajados Plano Explicación del ejercicio URL de YouTube",https://www.youtube.com/watch?v=a8A08H4j7vc
Para iniciar el Salto en zancada,re-film,Pliométrico,Explosividad,Ninguno,"Cuádriceps, Glúteos Pantorrillas, Flexores de la cadera, Isquiotibiales",,Sagital,"WhP4Rhc pies, luego doble inmediatamente ambas rodillas, repitiendo para la cantidad prescrita de tiempo o repeticiones.",https://www.youtube.com/watch?v=AWJ
Saltar la cuerda,hecho,,Peso corporal,Saltar,"la cuerda Deltoides, Pantorrillas","Deltoids, Calves",Sagital,Recto abdominal para enviar la cuerda por encima de la cabeza y saltar los pies del suelo a medida que,https://www.youtube.com/watch?v=Fyc5QqXEEQE
Sentadilla con salto,hecho,Pliométrico,Explosividad,Ninguno,"Cuádriceps, Glúteos, Isquiotibiales Pantorrillas,",Erector de la columna,Sagital,"Parte inferior de una sentadilla, extendiendo los brazos hacia adelante para contrapeso. Luego, impulsa explosivamente a través de los talones para extender las piernas y saltar la fe Las dominadas con salto al pecho comienzan en una posición colgante en una barra de dominadas barra, con las manos separadas a la anchura de los hombros o ligeramente más abiertas, manos Dominadas con salto al pecho",https://www.youtube.com/watch?v=1-Mum4hyIJ0
Jumping Chest to Bar Pull-Up,hecho,,Peso corporal,Barra de dominadas,"Latíssimo dorsal, Bíceps Cuádriceps,",Glúteos,Sagital,"Movimiento, dobla las rodillas para cargar las caderas, luego con fuerza extiende las piernas y salta los pies o Las dominadas con salto comienzan colgándose de una barra de dominadas, con las manos a la anchura de los hombros o ligeramente más abiertas, manos pronadas, y pies Dominada con salto",https://www.youtube.com/watch?v=cIHBBe5UWjA
Dominada con salto,hecho,Tirar,Peso corporal,Barra de dominadas,"Dorsal ancho, cuádriceps Bíceps,",recto abdominal,Sagital,"Rodillas para cargar las caderas, luego extiende las piernas con fuerza y salta los pies lejos de la superficie elevada",https://www.youtube.com/watch?v=JZ2AyFCr9hA
Sentadilla dividida con salto y pie trasero elevado,hecho,Una pierna,Explosividad,Banco,"Cuádriceps, glúteos, isquiotibialesRecto abdominal,",erector de la columna,Sagital,"Salta el pie delantero lejos del suelo. Luego, aterriza suavemente de nuevo flexionando inmediatamente ambas",https://www.youtube.com/watch?v=Bu8KhFSaY8c
Press de banca con kettlebell,hecho,Empuje,Carga externa,Kettlebell,"Pectorales, deltoides anteriores, trícepsRecto abdominal",Rectus Abdominis,Sagital,"Iniciar el movimiento, empuja los nudillos hacia el techo para extender las kettlebells y",https://www.youtube.com/watch?v=XivN4H7KhoA
Press de banca con kettlebell,hecho,Empuje,Carga externa,Kettlebell,"Pectorales, deltoides anteriores, trícepsRecto abdominal Sagital las asas","kettlebells justo fuera del pecho con los codos flexionados. Parahttps://www.youtube.com/watch?v=XivN4H7KhoA iniciar el movimiento, empuja los nudillos hacia el techo para extender las kettlebells y El clean con kettlebell comienza en posición de pie, con una kettlebell agarrada en una mano, colgando frente al cuerpo. Para iniciar el movimiento, realiza un swing con kettlebell flexionando las caderas y tirando de la Clean con kettlebell a una mano regrabar Flexión Carga externa Kettlebell Isquiotibiales, glúteos, erector de la columna, deltoides anteriores, bíceps",Sagital,"Kettlebell hacia atrás entre los muslos superiores. Luego, extiende con fuerza las caderas hacia adelante y tira de la kettlebell hacia arriba por la parte frontal del cuerpo, rotando externamente rotando",https://www.youtube.com/watch?v=ARsoNpzupPs
Clean + jerk con kettlebell,hecho,Empuje,Carga externa,Kettlebell,"Anterior Deltoids, Serratus, Quadriceps, Glutes","Hamstrings, Erector Spinae, Triceps",Sagital,"Cuádriceps, glúteos Tríceps caderas y tirando de las kettlebells hacia arriba entre los muslos internos. Luego,",https://www.youtube.com/watch?v=Gdfz-ZrUyyc
Press,realizado,Empuje,Carga externa,Kettlebell,"Isquiotibiales, erector de la columna","pHsamstrings, Erector Spinae",Sagital,"Cuádriceps, glúteos, tríceps caderas y tirando de las kettlebells hacia arriba entre los muslos internos. Luego,",https://www.youtube.com/watch?v=tia8pZ3oAIU
Press alterno con un solo brazo,realizado,Empuje,Carga externa,Kettlebell,"Anterior Deltoids, Triceps, Hamstrings, Glutes, Erecto","rB Sicpeipnsa, eRectus Abdominis, Quadriceps",Sagital,"Isquiotibiales, glúteos, erector Cuádriceps flexionando las caderas y tirando de la kettlebell hacia arriba entre los",https://www.youtube.com/watch?v=tMt68VFppcM
Press alterno con un solo brazo,realizado,Empuje,Carga externa,Kettlebell,"Sagital frente al cuerpo. Para iniciar el movimiento, realiza un swing https://www.youtube.com/watch?v=tMt68VFppcM Isquiotibiales, glúteos","erector Cuádriceps flexionando las caderas y tirando de la kettlebell hacia arriba entre los muslos. Luego, extiende las caderas El peso muerto con kettlebell comienza en una posición de bisagra, con los pies aproximadamente al ancho de las caderas, caderas hacia atrás, una ligera flexión de las rodillas y la parte superior del cuerpo inclinada hacia adelante con la espalda recta, y una kettlebell colocada entre los Peso muerto con kettlebell volver a grabar Flexión Carga externa Kettlebell Isquiotibiales, erector de la columna, glúteos, cuádriceps, dorsal ancho",Sagital,"Pies, con las manos sujetando la parte superior del asa de la kettlebell. Para iniciar el movimiento, impulsa a través de los talones y extiende las caderas hacia adelante mientras túEl",https://www.youtube.com/watch?v=jDSKi9vIt34
Kettlebell Gorilla Row,realizado,Jalón,Carga externa,Kettlebell,"Erector de la columna, isquiotibiales, glúteos,","Erector Spinae, Hamstrings, Glutes",Sagital,"Bíceps kettlebells en el suelo, cada una colocada directamente debajo de los",https://www.youtube.com/watch?v=nLCIvSbSAtI
Kettlebell Hammer Curl,realizado,Jalón,Carga externa,Kettlebell,"Bíceps, braquial, braquiorradial","tríceps, deltoides anteriores",Sagital,"Hacia adelante y los pulgares colocados sobre la parte superior de las asas de las kettlebells. Para iniciar el movimiento, b",https://www.youtube.com/watch?v=VRDZde-aCOo
Clean de Potencia de Colgado con Pesa Rusa,hecho,Doblar,Explosividad,Pesa rusa,"Erector Spinae, Hamstrings, Glutes, Latissimus Dorsi","Biceps, Anterior Deltoids, Trapezius",Sagital,"Glúteos, Latísimo Dorsi Trapecio frente a las caderas. Para iniciar el movimiento, realiza un dual balanceo de pesa rusa doblando a la altura de la cadera Ejercicio Estado Patrón Tipo Implementación Principal Músculos Principales Trabajados Músculos Secundarios Trabajados Plano Explicación del Ejercicio URL de YouTube",https://www.youtube.com/watch?v=NPFMyW3bBFM
Kettlebell Hang Power Clean + Push Press,hecho,Doblar,Explosividad,Kettlebell,"Erector Spinae, Isquiotibiales, Glúteos, Dorsal ancho","RAenctteursi oArb dDoemltioniidss, Triceps,",Sagital,"Kettlebells frente a las caderas. Para iniciar el movimiento, realiza un",https://www.youtube.com/watch?v=2bTbHKugch4
Arrancada de potencia con mancuerna colgante,re-film,Doblar,Explosividad,Kettlebell,"Erector Glúteos, Dorsal Spinae, ancho, Isquiotibiales, Serrato anterior uQs","u Reletocitduss, iDniesl, t, Aadnrteicreioprs D, AMbeddoiaml oTirdicseps",Sagital,"Movimiento, realizar un swing de kettlebell de un solo brazo haciendo bisagra en el caderas, y balanceando la kettlebell hacia atrás, alto entre los muslos.",https://www.youtube.com/watch?v=D9FQpUiLBMk
Empuje de cadera con kettlebell en banco,hecho,Doblar,Carga externa,Kettlebell,"Glúteos, Erector Spinae, Isquiotibiales Cuádriceps",Quadriceps,Sagital,"Talones en el piso directamente bajo las rodillas, y una kettlebell individual",https://www.youtube.com/watch?v=lBqFm11e0Ok
Kettlebell Hollow Hold Flutter Kick,hecho,Núcleo,Carga externa,Kettlebell,"Recto abdominal, flexores de la cadera Cuádriceps, Glúteos, Anterior Deltoides, Escápulas",,Sagital,"Qhg hacia la posición de agarre hueco elevando las piernas y la espalda alta hacia fuera del piso, y mantén la espalda baja",https://www.youtube.com/watch?v=x0oLjSX
Press Pallof Z con Kettlebell Horn,hecho,Empuje,Carga externa,Kettlebell,"Pectorales, Flexores de cadera deltoides anteriores, tríceps, Recto abdominal,",isquiotibiales,Sagital,"Flexionados. Para iniciar el movimiento, empuja la kettlebell directamente hacia adelante",https://www.youtube.com/watch?v=m4v2-yEILtQ
Jefferson Curl con kettlebell,hecho,Flexión,Carga externa,Kettlebell,"Erectores espinales, escápulas, Trapecio, isquiotibiales, glu Deltoides anteriores,",bíceps,Sagital,"Ritmo rodante, primero lleva la barbilla al pecho, luego redondea a través de la",https://www.youtube.com/watch?v=XCXivxlEV-I
L-Sit Lift Over con kettlebell,hecho,Núcleo,Peso corporal,Kettlebell,"Flexores Transverso de cadera, abdominal recto abdominal, Tríceps,","Deltoides, deltoides cuádriceps anteriores, medial",Transversal,"Iniciar el movimiento, presiona las manos en",https://www.youtube.com/watch?v=JCXur0V040I
Marching Farmer Carry con kettlebell,hecho,Una pierna,Carga externa,Kettlebell,"Flexores de cadera, psoas, recto Cuádriceps, isquiotibiales, Abdominales, glúteo","s Deltoides, T anterior",Sagital,"Columna vertical, levanta una rodilla lo más alto posible sin flexionar la",https://www.youtube.com/watch?v=bQ8S43zjhxo
S43zjhxo columna vertical,,Flexionar,Estabilidad,Kettlebell,"Tibial anterior, EHL, EDL Cuádriceps",Quadriceps,Sagital,"Justo encima de la articulación de la rodilla (asegúrate de que la kettlebell esté sobre el músculo y no sobre el hueso). Para iniciar el movimiento, inclina la rodilla delantera hacia adelante y",https://www.youtube.com/watch?v=5nYrRx0KSSk
Pronación a supinación con kettlebell,hecho,Jalar,Carga externa,Kettlebell,"Braquiorradial Bíceps,",Tríceps,Transversal,"Mano, agarrando donde el mango y la bola de la kettlebell se encuentran, con la palma hacia abajo y el pulgar",https://www.youtube.com/watch?v=w0y-BCpK-V0
Step-up a zancada inversa con kettlebell en front rack Zancada,hecho,Una pierna,Carga externa,Kettlebell,"Cuádriceps, glúteos, isquiotibiales,Recto abdominal, deltoides anterior Flexores de cadera Deltoides, bíceps",,Sagital,"Para iniciar el movimiento, levanta una rodilla y apoya el talón",https://www.youtube.com/watch?v=yY95
Sentadilla dividida con kettlebell en front rack,hecho,Una pierna,Carga externa,Kettlebell,"Cuádriceps, Aductores glúteos, isquiotibiales,Deltoides Abdominales anteriores,","bíceps, recto",Sagital,"Movimiento, flexiona ambas rodillas y permite que la rodilla trasera",https://www.youtube.com/watch?v=helH3K310Io
Zancada inversa con kettlebell en front rack,hecho,Una pierna,Carga externa,Kettlebell,"Cuádriceps, glúteos, isquiotibiales Deltoides Abdominales anteriores,","bíceps, recto",Sagital,"Flexiona ambas rodillas. Luego, impulsa a través del talón delantero para extender",https://www.youtube.com/watch?v=XbHusmgbWfc
Skull crusher con kettlebell,hecho,Empuje,Carga externa,Kettlebell,Tríceps Deltoides anteriores,Anterior Deltoids,Sagital,"Movimiento, flexiona los codos y baja la kettlebell hacia atrás la cabeza hacia el suelo. Luego",https://www.youtube.com/watch?v=Mp-pFo48AUY
Luego,re-film,Doblar,Explosividad,Kettlebell,"Latissimus Dorsi, Erector Spinae,rBapiceezpius,s Cuádriceps, Isquiotibiales, T Deltoides, Tríceps ,P Aonstteerriioorr",,Sagital,"Realizar un balanceo con kettlebell de un solo brazo haciendo bisagra en las caderas y balanceando la kettlebell hacia arriba entre los muslos, luego con fuerza",https://www.youtube.com/watch?v=QEEupLkPq
Step-Up con kettlebell,hecho,Una pierna,Carga externa,Kettlebell,"Glúteos, Cuádriceps, Isquiotibiales Pantorrillas, Deltoides",", Flexores Trapecio del tobillo, Anterior",Sagital,"Colocar el talón del pie sobre la caja. Luego, impulsa a través de la parte frontal del talón para extenderse hasta una sta Ejercicio Estado Patrón Tipo Implemento principal Músculos principales trabajados Músculos secundarios trabajados Plano Explicación del ejercicio URL de YouTube",https://www.youtube.com/watch?v=SXuy46ZdVUA
Press Estricto con Kettlebell,hecho,Empuje,Carga externa,Kettlebell,"Deltoides Tríceps anteriores, deltoides medios, Recto abdominal una kettlebell en cada mano",codos flexionados y las kettlebells,Sagital,"Los pesos y los brazos por encima de la cabeza, manteniendo el resto del cuerpo estable.",https://www.youtube.com/watch?v=nBzsqtxfc4k
Thruster con Kettlebell regrabar,,Empuje,Carga externa,Kettlebell,"Cuádriceps, Deltoides anteriores, glúteos, isquiotibiales, tríceps Trapecio","recto abdominal Sagital en cada mano, kettlebells en posición de rack",Frontal,"Movimiento, flexiona las rodillas hacia adelante y hacia afuera y lleva las caderas hacia atrás y baja hasta el fondo de la sentadilla. Luego, impulsa a través de los talones para extender",https://www.youtube.com/watch?v=NTbLQhptrOQ
Kipping Chest to Bar Pull-Up,hecho,Jalar,Peso corporal,Barra de dominadas,"Dorsal ancho, bíceps, trapecio","recto abdominal, cuádriceps",Sagital,"Balanceas hacia adelante, arquea la espalda y permite que el pecho se abra.",https://www.youtube.com/watch?v=PiF53ZOB83E
Kipping Deficit Handstand Push-Up,hecho,Empuje,Peso corporal,Pared,"Deltoides anteriores, tríceps Subescapular,",trapecio,Sagital,"Apoyados contra la pared. Para iniciar el movimiento, flexiona los codos para bajar la coronilla de la cabeza",https://www.youtube.com/watch?v=Lx-QT3fCx-I
Push-Up,hecho,Empuje,Peso corporal,Pared,"Deltoides anteriores, tríceps Subescapular","trapecio Sagital mirando hacia la pared, con las piernas extendidas hacia el techo y los pies https://www.youtube.com/watch?v=Lx-QT3fCx-I apoyados contra la pared. Para iniciar el movimiento, flexiona los codos para bajar la coronilla de la cabeza El Kipping Dip comienza en la parte superior de la posición de fondo, con los brazos extendidos, las manos sujetando las barras paralelas en agarre neutro. Para iniciar el Kipping Dip regrabar Empuje Peso corporal Barra de inmersión Pectoral mayor, tríceps Deltoides anterior, deltoides medial",Sagital,"Inmersión, lleva las rodillas al pecho y al mismo tiempo extiende el brazos y",https://www.youtube.com/watch?v=GH2qJr6k2Ak
Push de parada de manos Kipping,hecho,Empuje,Peso corporal,Pared,"Deltoides anterior, tríceps Trapecio, flexores de cadera",,Sagital,"JRt73Y la pared. Para iniciar el movimiento, dobla los codos para bajar el céfalo hacia el piso y dobla las rodillas y lleva el",https://www.youtube.com/watch?v=edqJ
Para iniciar Rodilla a pecho Kipping,hecho,Jalar,Peso corporal,Barra de dominadas,"Dorso ancho, flexores de cadera Recto abdominal, erectores de la columna",,Sagital,QScfiEa6g y redondea la parte superior de la espalda y lleva las rodillas hacia el pecho. Extiende las piernas a,https://www.youtube.com/watch?v=p
Dominada Kipping,re-film,Jalar,Peso corporal,Barra de dominadas,"Bíceps, dorsal ancho Infraspinato,",glúteos,Sagital,"Hacia atrás, protrae (redondea) la parte superior de la espalda y vacía el tronco a través de",https://www.youtube.com/watch?v=hH1m5B90TBs
Kipping Ring Dip,re-film,Empujar,Peso corporal,Anillos,"Deltoides Espinales anteriores, tríceps, erectoresDeltoides Supraespinoso anterior,","deltoides medial,",Sagital,"Parte inferior de la inmersión, lleva las rodillas al pecho y al mismo tiempo ex",https://www.youtube.com/watch?v=0n1hZ0SsN4U
Toe a Ring Kipping,re-film,Núcleo,Peso corporal,Anillos,"Dorso Abdomen ancho, escápulas, RectoFlexores Espina de cadera, cuádriceps, erectores",,Sagital,"Luego, balancea hacia atrás y redondea la parte superior de la espalda y levanta las piernas",https://www.youtube.com/watch?v=r6KiszEQP
Flexión de rodilla,re-film,Empujar,Peso corporal,Ninguno,"Pectorales, Recto Abdominal Deltoides anteriores, Tríceps, Glúteos",Glutes,Sagital,"Una flexión pélvica posterior (inclinación pélvica posterior) y los glúteos apretándose juntos. Para iniciar el movimiento, dobla los codos y llévalos hacia atrás, permitiendo th",https://www.youtube.com/watch?v=TBpk09QuVN8
Sujeción de rodilla al pecho,re-film,Núcleo,Peso corporal,Barra de dominadas,"Recto Abdominal, Flexores de cadera Oblicuos, Dors",o Lat,Sagital,Las rodillas hacia el pecho y mantenerlas.,https://www.youtube.com/watch?v=rUQGHBrIjbA
Rodilla al codo,re-film,Núcleo,Peso corporal,Barra de dominadas,"Recto Abdominal, Flexores de cadera Oblicuos,",Dorsal ancho,Sagital,"Través de la espalda, luego balancea hacia atrás y jala las rodillas hacia arriba hacia el codos. Luego, avanza y extiende las piernas, avanza hacia atrás y jala la rodilla",https://www.youtube.com/watch?v=cCNRk8BLoN4
Sentadilla con rodillas sobre los dedos,hecho,Una pierna,Peso corporal,Ninguno,"Cuádriceps, Isquiotibiales, Flexores pantorrillas de cadera, Glúteos, Recto Espina Abdominal, Psoas",", Erector",Sagital,"Parte superior del cuerpo hacia adelante, permitiendo que la rodilla delantera se mueva más allá de la delantera dedos, dejando que el frente él L-Hang comienza colgando de una barra de dominadas, con las manos aproximadamente L-Hang",https://www.youtube.com/watch?v=JQoRBgCMbXE
L-Hang,re-film,Núcleo,Peso corporal,Barra de dominadas,"Recto del abdomen, flexores de la cadera Dorsal ancho, Cuádriceps",", Oblicuos",Sagital,"Durante el tiempo prescrito. La L-sit empieza en una posición de sentadilla estrecha entre dos paralelas, con las manos sujetando las paralelas en un agarre neutral. Para entrar L-Sit",https://www.youtube.com/watch?v=rulWtpNeK6M
Para entrar L-Sit,re-film,Núcleo,Peso corporal,Paralelas,"Recto del abdomen, flexores de la cadera","Deltoides Trapecio anteriores, tríceps,",Sagital,"Suelo, y extiende las piernas hacia adelante para que las caderas estén flexionadas a 90- grado. Mantén las escápulas deprimidas y los brazos atrás Ejercicio Estado Patrón Tipo Implemento Principal Músculos Principales Trabajados Músculos Secundarios Trabajados Plano Explicación del Ejercicio URL de YouTube",https://www.youtube.com/watch?v=gBY5zwHJIvg
L-Sit en paralelas,hecho,Núcleo,Peso corporal,Paralelas,"Recto abdominal, flexores de la cadera Deltoides anteriores, tríceps",", Trapecio",Sagital,"Posición, empuja hacia abajo la barra, activa el núcleo, lleva las caderas hacia atrás",https://www.youtube.com/watch?v=PRWbVx6KAgQ
Peso muerto rumano con landmine,hecho,Flexión,Carga externa,Barra landmine,"Glúteos, isquiotibiales, erectores de la columna Recto Deltoides abdominal,",posterior,Sagital,"Altura. Para colocarte en la posición inicial, flexiona desde las caderas, empujando",https://www.youtube.com/watch?v=q77gVO6khx4
Remo con landmine regrabar,,Jalar,Carga externa,Barra landmine,"Dorsal ancho, bíceps Erectores de la columna,","glúteos, isquiotibiales",Sagital,Que el brazo permanezca cerca del costado del cuerpo y aprieta a través del hombro,https://www.youtube.com/watch?v=uD4GuRe-bOs
Caminata lateral con banda regrabar,,Una pierna,Carga externa,Banda,"Glúteos, Tensor de la Fascia Lata Cuádriceps",Quadriceps,Frontal,"Tensión. Para iniciar el movimiento, dé un paso lateral con un pie hacia un lado, luego siga con el",https://www.youtube.com/watch?v=wn9IpSl3WbQ
Lateral Bench Step Over,hecho,Una pierna,Peso corporal,Banco,"Glúteos, Cuádriceps Abductores, Aductores, Isquiotibiales","Flexores de cadera a tu lado. Para iniciar el movimiento, comenzando con la pierna",Frontal,"Pasa lateralmente sobre el banco, seguido por la segunda pierna. Luego, repite",https://www.youtube.com/watch?v=tuc7wUP0FzM
Lateral Box Jump Over,hecho,Una pierna,Peso corporal,Caja pliométrica,"Glúteos, Aductores Cuádriceps, Abductores, Isquiotibiales, Gemelos, Flexores de cadera",,Frontal,"Rápidamente sube el segundo pie a la caja, luego salta inmediatamente el",https://www.youtube.com/watch?v=0WN1G3WUh
Lateral Box Step Over,re-film,Una pierna,Peso corporal,Caja pliométrica,"Glúteos, Cuádriceps Abductores, Aductores, Isquiotibiales","Flexores de cadera tu lado. Para iniciar el movimiento, sube lateralmente un pie a la",Frontal,"Otro lado de la caja, al suelo, seguido por el segundo",https://www.youtube.com/watch?v=A-npLEYkQ-Y
Lateral Box Walk Over,hecho,Una pierna,Peso corporal,Caja pliométrica,"Cuádriceps, Aductores, Glúteos, Abductores Isquiotibiales, Gemelos",Calves,Frontal,"Detrás del pie estable al otro lado de la caja, seguido por el segundo pie",https://www.youtube.com/watch?v=HtQ2VK0Lea4
Lateral Step Down,hecho,Una pierna,Peso corporal,Caja,"plyo Glúteos, Cuádriceps, Isquiotibiales Gastronemios,",Flexores del tobillo,Frontal,"Pierna y manteniendo el talón abajo. Luego, impulsa a través del talón en el",https://www.youtube.com/watch?v=2bOei8bM9bU
Pull-Up de inclinación hacia atrás,hecho,Jalar,Peso corporal,Barra de dominadas,"Latísimo del dorso, Bíceps, Romboides con las manos aproximadamente a la anchura de los hombros y las manos pronadas. Para Braquiorradial, Rect",o Abdominal,Sagital,"Hacia abajo y hacia atrás, y retrae a través de las escápulas. Luego, empieza",https://www.youtube.com/watch?v=lKZyoTWhw48
Cuando estés Prensa de piernas,re-film,Empujar,Carga externa,Prensa,"de piernas Cuádriceps, Isquiotibiales, Glúteos Gastronemios,",Flexores de cadera,Sagital,"Para iniciar el movimiento, dobla las rodillas y júlalas hacia abajo hacia el pecho, sin dejar",https://www.youtube.com/watch?v=IqjbBRNqJps
Legless Rope Climb,re-film,Jalar,Peso corporal,Cuerda,"Latísimo del dorso, Bíceps, Escápulas Trapecio, Carp","i Ulnaris Braquiorradial, Flexor",Sagital,"Las piernas extendidas y fuera de la cuerda, hasta que llegues a la cima. Luego, desde la parte superior, invierte el movimiento hasta llegar a la parte inferior, otra vez sin el",https://www.youtube.com/watch?v=4OzbYX3iy54
Man Maker,re-film,Empujar,Carga externa,Mancuernas,"Pectorales, Deltoides anteriores, Latísimoglúteos, bíceps, escápulas, Dorsal",", Tríceps, Cuádriceps Trapecio, Recto Abdomino",Sagital,"Suelo. Luego, vuelve a la posición de brazo extendido. A continuación, realiza un renegade ro",https://www.youtube.com/watch?v=fz2BvoqP3iE
Puente Marchante,re-film,Núcleo,Peso corporal,Ninguno,"Glúteos, Erector de Isquiotibiales, la columna Flexores de cadera, Recto Abdominis,",Cuádriceps,Sagital,"Iniciar el movimiento, impulsar hacia abajo a través de un talón y llevar la otra rodilla hacia arriba y hacia atrás Ejercicio Estado Patrón Tipo Implemento Principal Músculos Principales Trabajados Músculos Secundarios Trabajados Plano Explicación del Ejercicio URL de YouTube",https://www.youtube.com/watch?v=0ALFGYGl020
ALFGYGl020 iniciar el movimiento,,Llevar,Peso corporal,Pared,"Cuádriceps, Glúteos, Isquiotibiales","Hip Flexors, Rectus Abdominis, Erector Spinae",Sagital,"Erectores espinales de los pies ligeramente, con las manos a los lados. Para iniciar el",https://www.youtube.com/watch?v=OjJ2axf1VCU
